x,T,p,U_0,U_1,U_2
0,300,110304,10,0,0
0.0010101,300,110245,10.0081,-7.2244e-18,0
0.0020202,300,110085,10.0235,7.17142e-18,0
0.0030303,300,109884,10.0421,1.97128e-20,0
0.0040404,300,109694,10.0608,-1.95622e-19,0
0.00505051,300,109507,10.0798,8.77528e-18,0
0.00606061,300,109306,10.0999,-9.00727e-18,0
0.00707071,300,109091,10.121,-9.16687e-18,0
0.00808081,300,108869,10.1429,2.86882e-17,0
0.00909091,300,108643,10.1652,-1.04104e-17,0
0.010101,300,108413,10.1879,-9.48784e-18,0
0.0111111,299.999,108179,10.2108,1.00997e-17,0
0.0121212,299.999,107943,10.2339,-9.98156e-18,0
0.0131313,299.999,107706,10.257,-9.99783e-18,0
0.0141414,299.999,107471,10.2799,9.8964e-18,0
0.0151515,299.999,107239,10.3025,1.19098e-19,0
0.0161616,299.999,107011,10.3246,3.12119e-20,0
0.0171717,299.999,106789,10.346,4.29293e-11,0
0.0181818,299.999,106575,10.3668,2.95455e-10,0
0.0191919,299.999,106368,10.3867,4.5202e-10,0
0.020202,299.999,106171,10.4056,1.99495e-10,0
0.0212121,299.999,105984,10.4236,-7.47442e-19,0
0.0222222,299.999,105808,10.4405,7.0444e-18,0
0.0232323,299.999,105642,10.4564,-1.27754e-17,0
0.0242424,299.999,105486,10.4714,-2.32857e-19,0
0.0252525,299.999,105340,10.4854,5.82132e-18,0
0.0262626,299.999,105203,10.4985,2.20126e-19,0
0.0272727,299.999,105074,10.5108,-3.03084e-19,0
0.0282828,299.999,104953,10.5223,5.36625e-20,0
0.0292929,299.999,104839,10.5332,7.32323e-11,0
0.030303,299.999,104731,10.5435,2.5e-10,0
0.0313131,299.999,104628,10.5533,1.71717e-10,0
0.0323232,299.999,104530,10.5626,-3.23139e-19,0
0.0333333,299.999,104436,10.5716,-8.33333e-11,0
0.0343434,299.999,104345,10.5802,-2.5e-10,0
0.0353535,299.999,104257,10.5886,-1.61616e-10,0
0.0363636,299.999,104172,10.5967,9.09091e-11,0
0.0373737,299.999,104089,10.6045,2.5e-10,0
0.0383838,299.998,104007,10.6122,1.5404e-10,0
0.0393939,299.998,103928,10.6198,9.84848e-11,0
0.040404,299.998,103849,10.6272,2.5e-10,0
0.0414141,299.998,103772,10.6345,1.46465e-10,0
0.0424242,299.998,103696,10.6416,-3.59347e-20,0
0.0434343,299.998,103620,10.6487,-7.48127e-20,0
0.0444444,299.998,103546,10.6557,-1.11111e-10,0
0.0454545,299.998,103472,10.6627,-2.5e-10,0
0.0464646,299.998,103399,10.6695,-1.76768e-11,0
0.0474747,299.998,103326,10.6763,3.68687e-10,0
0.0484848,299.998,103254,10.6831,3.78788e-10,0
0.0494949,299.998,103183,10.6898,1.26263e-10,0
0.0505051,299.998,103112,10.6965,2.94208e-18,0
0.0515152,299.998,103041,10.7031,-2.60704e-18,0
0.0525253,299.998,102970,10.7097,-2.63913e-18,0
0.0535354,299.998,102901,10.7162,-1.33838e-10,0
