x,T,p,U_0,U_1,U_2
0,572.732,100390,0.763776,0,0
0.000502513,403.761,100391,0.845045,-0.0152625,0
0.00100503,909.308,100369,0.441919,-0.0106837,0
0.00150754,622.304,100349,0.597718,-0.0131972,0
0.00201005,961.865,100336,0.380533,-0.00867546,0
0.00251256,806.261,100323,0.429984,-0.00519155,0
0.00301508,1014.51,100316,0.329517,-0.00490879,0
0.00351759,934.308,100309,0.337407,-0.000552786,0
0.0040201,1054.62,100304,0.294876,-0.00234283,0
0.00452261,1009.48,100300,0.294875,0.000979419,0
0.00502513,1080.91,100297,0.273236,-0.00103366,0
0.00552764,1050.7,100294,0.275742,0.000921331,0
0.00603015,1098.25,100291,0.258942,-0.000545961,0
0.00653266,1076.14,100289,0.264801,0.0004661,0
0.00703518,1111.47,100286,0.248171,-0.000429588,0
0.00753769,1095.65,100283,0.255907,0.00012207,0
0.0080402,1123.09,100280,0.239071,-0.000412515,0
0.00854271,1112.67,100277,0.247334,-3.59135e-05,0
0.00904523,1133.83,100274,0.230964,-0.000392943,0
0.00954774,1127.77,100271,0.239071,-8.0709e-05,0
0.0100503,1143.76,100268,0.223684,-0.000358139,0
0.0105528,1140.97,100266,0.231443,-8.37312e-05,0
0.0110553,1152.86,100263,0.217184,-0.000318595,0
0.0115578,1152.35,100260,0.22459,-7.83895e-05,0
0.0120603,1161.12,100257,0.211392,-0.000281907,0
0.0125628,1162.14,100255,0.218469,-7.3617e-05,0
0.0130653,1168.62,100252,0.206215,-0.000250393,0
0.0135678,1170.61,100250,0.21298,-7.00894e-05,0
0.0140704,1175.45,100247,0.20156,-0.000223892,0
0.0145729,1178.02,100245,0.208025,-6.71501e-05,0
0.0150754,1181.71,100242,0.19735,-0.000201561,0
0.0155779,1184.57,100240,0.203523,-6.44057e-05,0
0.0160804,1187.48,100238,0.193518,-0.000182562,0
0.0165829,1190.44,100236,0.199409,-6.17493e-05,0
0.0170854,1192.83,100233,0.190013,-0.000166221,0
0.0175879,1195.75,100231,0.195628,-5.91855e-05,0
0.0180905,1197.8,100229,0.186791,-0.00015203,0
0.018593,1200.61,100227,0.192137,-5.67408e-05,0
0.0190955,1202.46,100225,0.183815,-0.000139607,0
0.019598,1205.12,100223,0.188902,-5.4437e-05,0
0.0201005,1206.84,100220,0.181058,-0.000128658,0
0.020603,1209.31,100218,0.185892,-5.22836e-05,0
