y,T,p,U_0,U_1,U_2
0.001,300.004,103146,0,0,0
0.00105556,300.004,103146,3.00911,0.00088097,0
0.00111111,300.004,103146,5.83668,0.00203442,0
0.00116667,300.003,103147,7.93816,0.00427781,0
0.00122222,300.001,103146,9.53227,0.00611148,0
0.00127778,300,103146,10.3653,0.0073306,0
0.00133333,299.999,103147,10.7564,0.00774755,0
0.00138889,299.998,103147,10.8528,0.00762972,0
0.00144444,299.998,103147,10.8211,0.00720641,0
0.0015,299.998,103147,10.7574,0.00670673,0
0.00155556,299.998,103147,10.7278,0.00628961,0
0.00161111,299.998,103147,10.7033,0.00587978,0
0.00166667,299.998,103147,10.6993,0.00549912,0
0.00172222,299.998,103147,10.6969,0.00512768,0
0.00177778,299.998,103147,10.6969,0.0047701,0
0.00183333,299.998,103147,10.6966,0.00440391,0
0.00188889,299.998,103147,10.6962,0.004032,0
0.00194444,299.998,103147,10.6957,0.00366711,0
0.002,299.998,103147,10.6952,0.00330397,0
0.00205556,299.998,103147,10.6948,0.0029347,0
0.00211111,299.998,103147,10.6944,0.00256622,0
0.00216667,299.998,103147,10.6941,0.00220091,0
0.00222222,299.998,103147,10.6938,0.00183464,0
0.00227778,299.998,103147,10.6936,0.00146695,0
0.00233333,299.998,103147,10.6934,0.00110007,0
0.00238889,299.998,103147,10.6933,0.000733746,0
0.00244444,299.998,103147,10.6932,0.000366933,0
0.0025,299.998,103147,10.6932,-1.68482e-17,0
0.00255556,299.998,103147,10.6932,-0.000366933,0
0.00261111,299.998,103147,10.6933,-0.000733745,0
0.00266667,299.998,103147,10.6934,-0.00110007,0
0.00272222,299.998,103147,10.6936,-0.00146695,0
0.00277778,299.998,103147,10.6938,-0.00183464,0
0.00283333,299.998,103147,10.6941,-0.00220091,0
0.00288889,299.998,103147,10.6944,-0.00256622,0
0.00294444,299.999,103147,10.6948,-0.0029347,0
0.003,299.999,103147,10.6952,-0.00330397,0
0.00305556,299.994,103147,10.6958,-0.00366711,0
0.00311111,299.988,103147,10.6962,-0.004032,0
0.00316667,299.973,103147,10.6966,-0.00440392,0
0.00322222,300.013,103147,10.6969,-0.0047701,0
0.00327778,300.136,103147,10.6969,-0.00512768,0
0.00333333,300.622,103147,10.6993,-0.00549912,0
0.00338889,301.349,103147,10.7033,-0.00587978,0
0.00344444,300.9,103147,10.7278,-0.00628961,0
0.0035,300.157,103147,10.7575,-0.00670673,0
0.00355556,286.666,103147,10.8211,-0.00720641,0
0.00361111,270.231,103147,10.8528,-0.00762972,0
0.00366667,242.018,103147,10.7564,-0.00774755,0
0.00372222,236.135,103146,10.3653,-0.0073306,0
0.00377778,263.749,103146,9.53227,-0.00611148,0
0.00383333,414.128,103146,7.93815,-0.00427781,0
0.00388889,646.351,103146,5.83668,-0.00203442,0
0.00394444,1042.19,103147,3.00911,-0.00088097,0
0.004,1478.93,103146,0,0,0
